10:46:43:457;eph;epv;fix_type;satellites;gps_status;ekf;latitude;longitude;altitude;north;east;down;pitch;yaw;roll;Vx;Vy;Vz;groundspeed;voltage;current;power;last_heartbeat;armed;mode;armable;system_status
10:47:49:569;eph;epv;fix_type;satellites;gps_status;ekf;latitude;longitude;altitude;north;east;down;pitch;yaw;roll;Vx;Vy;Vz;groundspeed;voltage;current;power;last_heartbeat;armed;mode;armable;system_status
10:47:55:419;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2767954170703888;-0.13442930579185486;-0.11824596673250198;-0.05154649540781975;0.24842390418052673;-0.045941077172756195;0.25;-0.13;0.02;0.30090415477752686;12.587;0.0;100;0.6244284380227327;1;1;0;4
10:47:55:520;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27490177750587463;-0.1335866004228592;-0.1182662695646286;-0.05154649540781975;0.24842390418052673;-0.045941077172756195;0.25;-0.13;0.02;0.2909053862094879;12.587;0.0;100;0.6976040580193512;1;1;0;4
10:47:55:621;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27490177750587463;-0.1335866004228592;-0.1182662695646286;-0.05154649540781975;0.24842390418052673;-0.045941077172756195;0.25;-0.13;0.02;0.2909053862094879;12.587;0.0;100;0.7983696190058254;1;1;0;4
10:47:55:721;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27498793601989746;-0.13376785814762115;-0.11825757473707199;-0.05131211876869202;0.24808764457702637;-0.04573182761669159;0.25;-0.13;0.02;0.2897854447364807;12.587;0.0;100;0.8989577580359764;1;1;0;4
10:47:55:822;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27498793601989746;-0.13376785814762115;-0.11825757473707199;-0.05131211876869202;0.24808764457702637;-0.04573182761669159;0.25;-0.13;0.02;0.2897854447364807;12.587;0.0;100;8.093903306871653e-05;1;1;0;4
10:47:55:923;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27498793601989746;-0.13376785814762115;-0.11825757473707199;-0.05109076201915741;0.24777205288410187;-0.045540593564510345;0.25;-0.13;0.02;0.2873380780220032;12.587;0.0;100;0.12982153799384832;1;1;0;4
10:47:56:025;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2746673822402954;-0.1337302029132843;-0.1182655543088913;-0.05109076201915741;0.24777205288410187;-0.045540593564510345;0.25;-0.13;0.02;0.2873380780220032;12.587;0.0;100;0.1906745620071888;1;1;0;4
10:47:56:125;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2746673822402954;-0.1337302029132843;-0.1182655543088913;-0.05109076201915741;0.24777205288410187;-0.045540593564510345;0.25;-0.13;0.02;0.2873380780220032;12.587;0.0;100;0.2910763469990343;1;1;0;4
10:47:56:226;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27374008297920227;-0.1333959996700287;-0.11811486631631851;-0.050848063081502914;0.24743635952472687;-0.04533825069665909;0.25;-0.13;0.02;0.29372987151145935;12.587;0.0;100;0.3965113420272246;1;1;0;4
10:47:56:326;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27374008297920227;-0.1333959996700287;-0.11811486631631851;-0.050848063081502914;0.24743635952472687;-0.04533825069665909;0.25;-0.13;0.02;0.29372987151145935;12.587;0.0;100;0.4970891310367733;1;1;0;4
10:47:56:427;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27075299620628357;-0.1319752186536789;-0.11844969540834427;-0.05063168704509735;0.24713103473186493;-0.045150451362133026;0.25;-0.13;0.02;0.2839200794696808;12.587;0.0;100;0.6333128800033592;1;1;0;4
10:47:56:528;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27075299620628357;-0.1319752186536789;-0.11844969540834427;-0.05063168704509735;0.24713103473186493;-0.045150451362133026;0.25;-0.13;0.02;0.2839200794696808;12.587;0.0;100;0.7338414450059645;1;1;0;4
10:47:56:628;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27075299620628357;-0.1319752186536789;-0.11844969540834427;-0.05063168704509735;0.24713103473186493;-0.045150451362133026;0.25;-0.13;0.02;0.2839200794696808;12.587;0.0;100;0.8344175980309956;1;1;0;4
10:47:56:729;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2688222825527191;-0.13110363483428955;-0.1184968575835228;-0.050385307520627975;0.24680426716804504;-0.0449405238032341;0.24;-0.13;0.02;0.2790604531764984;12.587;0.0;100;0.8945451990002766;1;1;0;4
10:47:56:830;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2688222825527191;-0.13110363483428955;-0.1184968575835228;-0.050385307520627975;0.24680426716804504;-0.0449405238032341;0.24;-0.13;0.02;0.2790604531764984;12.587;0.0;100;6.741000106558204e-05;1;1;0;4
10:47:56:930;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.26855215430259705;-0.1311110407114029;-0.11824993044137955;-0.05016909912228584;0.24650494754314423;-0.044758789241313934;0.24;-0.13;0.02;0.28092440962791443;12.587;0.0;100;0.12996305397246033;1;1;0;4
10:47:57:031;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.26855215430259705;-0.1311110407114029;-0.11824993044137955;-0.05016909912228584;0.24650494754314423;-0.044758789241313934;0.24;-0.13;0.02;0.28092440962791443;12.587;0.0;100;0.23034128599101678;1;1;0;4
10:47:57:132;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.26855215430259705;-0.1311110407114029;-0.11824993044137955;-0.05016909912228584;0.24650494754314423;-0.044758789241313934;0.24;-0.13;0.02;0.28092440962791443;12.587;0.0;100;0.33108494797488675;1;1;0;4
10:47:57:232;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2700880467891693;-0.13209840655326843;-0.11778518557548523;-0.04993646591901779;0.2461845427751541;-0.04456063732504845;0.25;-0.13;0.02;0.29015249013900757;12.587;0.0;100;0.436423790990375;1;1;0;4
10:47:57:333;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2700880467891693;-0.13209840655326843;-0.11778518557548523;-0.04993646591901779;0.2461845427751541;-0.04456063732504845;0.25;-0.13;0.02;0.29015249013900757;12.587;0.0;100;0.5374848129577003;1;1;0;4
10:47:57:434;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.26824602484703064;-0.13129910826683044;-0.11767120659351349;-0.04971399903297424;0.2458823174238205;-0.04436621814966202;0.24;-0.13;0.02;0.2805059850215912;12.587;0.0;100;0.6315675219520926;1;1;0;4
10:47:57:535;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.26824602484703064;-0.13129910826683044;-0.11767120659351349;-0.04971399903297424;0.2458823174238205;-0.04436621814966202;0.24;-0.13;0.02;0.2805059850215912;12.587;0.0;100;0.7321259489981458;1;1;0;4
10:47:57:635;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.26824602484703064;-0.13129910826683044;-0.11767120659351349;-0.04971399903297424;0.2458823174238205;-0.04436621814966202;0.24;-0.13;0.02;0.2805059850215912;12.587;0.0;100;0.8326958889956586;1;1;0;4
10:47:57:736;121;200;6;10;6,10;1;-35.3632598;149.165236;583.8;0.2664196491241455;-0.13045985996723175;-0.11747101694345474;-0.04946731775999069;0.24555520713329315;-0.04415525496006012;0.24;-0.12;0.02;0.27493199706077576;12.587;0.0;100;0.8929358599707484;1;1;0;4
10:47:57:837;121;200;6;10;6,10;1;-35.3632598;149.165236;583.8;0.2664196491241455;-0.13045985996723175;-0.11747101694345474;-0.04946731775999069;0.24555520713329315;-0.04415525496006012;0.24;-0.12;0.02;0.27493199706077576;12.587;0.0;100;6.157095776870847e-05;1;1;0;4
10:47:57:937;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2677237093448639;-0.1312304139137268;-0.1171196699142456;-0.04925215244293213;0.24525347352027893;-0.043970901519060135;0.24;-0.13;0.02;0.27879542112350464;12.587;0.0;100;0.13814462500158697;1;1;0;4
